GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041661,460,206,254,386,74,0,10.99,41.85623294,44.7826087,55.2173913,83.91304348,16.08695652
E00041662,318,141,177,318,0,0,10.62,29.94350282,44.33962264,55.66037736,100,0
E00041663,190,100,90,190,0,0,7.71,24.64332036,52.63157895,47.36842105,100,0
E00041665,438,227,211,438,0,9,5.4,81.11111111,51.82648402,48.17351598,100,0
E00041666,251,114,137,251,0,1,2.82,89.0070922,45.41832669,54.58167331,100,0
E00041667,221,121,100,221,0,0,6.46,34.21052632,54.75113122,45.24886878,100,0
E00041668,264,132,132,264,0,0,2.35,112.3404255,50,50,100,0
E00041670,273,135,138,273,0,0,8.18,33.37408313,49.45054945,50.54945055,100,0
E00041671,326,140,186,326,0,1,5.44,59.92647059,42.94478528,57.05521472,100,0
E00041672,359,173,186,359,0,2,4.47,80.31319911,48.18941504,51.81058496,100,0
E00041675,273,135,138,268,5,0,12.89,21.17920869,49.45054945,50.54945055,98.16849817,1.831501832
E00041676,300,143,157,300,0,3,5.07,59.17159763,47.66666667,52.33333333,100,0
E00041677,242,116,126,242,0,0,20.41,11.85693288,47.9338843,52.0661157,100,0
E00041678,212,108,104,212,0,2,2.53,83.7944664,50.94339623,49.05660377,100,0
E00041679,341,169,172,341,0,0,13.98,24.39198856,49.5601173,50.4398827,100,0
E00041680,318,158,160,318,0,1,5.02,63.34661355,49.68553459,50.31446541,100,0
E00041681,204,94,110,204,0,0,4.94,41.29554656,46.07843137,53.92156863,100,0
E00041682,269,136,133,269,0,2,4.15,64.81927711,50.55762082,49.44237918,100,0
E00041683,285,151,134,285,0,1,8.41,33.8882283,52.98245614,47.01754386,100,0
E00041684,222,94,128,183,39,2,3.84,57.8125,42.34234234,57.65765766,82.43243243,17.56756757
E00041685,261,125,136,255,6,1,7.69,33.94018205,47.89272031,52.10727969,97.70114943,2.298850575
